question,answer
" прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: balzac, the famous french writer, was a man of great talent. but he himself was proud of his ability to tell a person’s character by his or her handwriting. one day a woman brought him a young boy’s exercise-book. she said she wanted to know what balzac thought of the boy’s character. balzac studied the boy’s handwriting carefully. then he said that the boy was a lazy fellow. “it’s very strange,” said the woman smiling. “this is a page from your own exercise-book, which you used when you were a boy.” balzac … . ",was a man of great talent.
 закончите предложение: sherwood forest is famous for legendary … . ,robin hood.
 выберите слово с третьим типом слога:  ,observe.
 синонимом слова “discover” является: ,find
 выберите верное окончание для словосочетания:  a loaf of ... ,bread.
 выберите нужный фразовый глагол. we like to walk and … the stars at night. ,look at. 
 дополните предложение: he ... his brother’s example. ,follows
 закончите пословицу:  actions speak louder... ,... than words.
 выберите верный вариант местоимений: how long does …  take … to go to the nearest shop? ,it / you.
 выберите глагол в форме past continuous active: ,was working. 
 выберите правильный вспомогательный глагол в предложении: i ... not heard this news. ,have
 выберите правильную форму глагола в страдательном залоге: last week i (to ask) to write an article. ,was asked.
 подберите нужное по смыслу прилагательное или наречие:  he wrote a dictation very … ,badly
 найдите правильное местоимение: in kazakhstan there is only one lake … i haven’t visited yet. ,which.
 выберите правильную форму глагола “to be”: zulfiya … to have made a report on psychology previous thursday.  ,was
 глагол to do употреблен в качестве вспомогательного в предложении: ,did you know how to drive a car? 
 выберите правильный вариант: he answered he … when he … the answer. ,would phone / knew
 задайте вопрос к предложению: liz has got short hair now but it used to be very long. ,did her hair use to be very long?
" выберите слово, противоположное по значению: long. ",short.
 выберите правильный вариант артиклей. … potatoes are grown everywhere in … british isles. ,"-, the."
 выберите неисчисляемое существительное: ,ground.
 поставьте глагол в предложении в present simple tense. … you as old as your friend? ,are. 
 дополните предложение: look! there … a book on the table. ,is 
" выберите слово, в котором выделенная буква читается отлично от других. ",geography  
" выберите производное слово от слова ""help"": ",helpless.
 выберите верное местоимение: mary didn’t know about it. … was at home. ,she.
 выберите верное местоимение. there are … interesting toys on the table. ,some.
 выберите правильный вариант: i thought … there was nothing to worry about. ,that
 выберите притяжательную форму существительного в единственном числе. ,aunt’s
 выберите правильный вариант формы глагола: he was looking forward to … to astana to business-trip.    ,being sent
 выберите предложение с participle i: ,going along the street i met mary.
 выберите подходящее слово.  the battle at trafalgar was a … victory of the british nation. ,triumphant
 выберите фразовый глагол со значением «собираться сделать что-либо»: ,to be going to do something
 переведите “заботиться о… ”: ,to take care of
 образуйте новое слово от глагола “write” с помощью следующих приставок. ,re.
 выберите глагол в форме present perfect active: ,has finished.
 выберите правильный вариант: we were told that the train … five minutes later. ,would arrive
 выберите правильный вопрос: you shouldn’t close the window  ,should i close the window?
" найдите предложение, имеющее значение будущего времени: ",what is he going to do?    
" закончите предложение : when i was younger, i … play tennis quite well. ",used to
 вставьте глагол в соответствующей форме:  seeing nick enter the room i rose (greet) him. ,to greet
" прочитайте текст и выполните задание после текста: london is famous as a city where businessmen carry umbrellas and wear bowler hats. but do you know how the umbrella came to england?    the word umbrella is italian, meaning a little shade. the italians did not invent the umbrella, however, it was used many centuries ago in the east as a protection against the sun. in england it was used more as a protection against the rain and the first man to appear in the streets of london with an umbrella more than a hundred and fifty years ago was jonas hanway. but the first umbrella user did not have an easy time: he got into trouble with coachmen. they did not want people to use umbrellas in rainy weather, they wanted them to ride in their coaches.    but the londoners were so grateful to jonas hanway that when he died they erected a monument to his memory in westminster abbey, where it may still be seen to this days.  ответьте на вопрос: how did the englishmen use the umbrella? ",they used the umbrella as a protection against the rain. 
 выберите антоним к подчеркнутому слову: the damp climate of this country made my cough very strong.   ,dry
 выразите одним словом: you send them to your relatives on holidays. ,postcards.
" выберите правильный английский эквивалент данной пословицы: сколько голов, столько умов. ","so many men, so many minds."
 найдите правильный вариант глагола: clothes … very different in the year 2100. ,will be
 найдите правильный вариант глагола. when the film started the children … in the living room. ,were playing
 выберите правильную форму глагола в страдательном залоге: her book (to finish) next month. ,will be finished.
 антонимом слова “dream” является: ,reality.
 дополните предложение: … year ago he was in … 10-th form. ,a | the
 существительное во множественном числе. ,torches
 поставьте глагол в предложении в present simple tense. new year’s day … the time for making new year resolutions. ,is. 
 выберите правильную  форму глагола . … there any snakes in the forest? ,are
" выберите слово, в котором выделенная буква читается отлично от других слов: ",bush. 
 выберите правильный вариант перевода слова: невозможный ,impossible. 
 образуйте сложное слово: text                   ,book
 выберите верное местоимение: i love … very much! ,him.
 выберите правильный вариант местоимения: have you got … new books? ,any.
 найдите правильное местоимение: he published the book … nobody ever read. ,which.
 вставьте пропущенные слова: the … resources are quite enough to meet the … material needs. ,"earth’s, people’s"
 выберите правильный ответ: is tom going to play on the bridge? ,"yes, he is."
 закончите предложение:  the national emblem of scotland is ... ,the thistle. 
 найдите синоним к слову: “to work” ,to labour. 
 найдите предложение с фразовым глаголом:  ,"take off your coat, it’s very warm in the street. "
 переведите “быть расположенным ”  ,to be situated
 дополните предложение: not to catch the train means to ... it. ,miss
 найдите правильный вариант перевода: she shouldn’t come. ,ей не следует приходить.
 выберите верный вариант отрицания к данному предложению: he used to do everything his mother said. ,he didn’t use to do everything his mother said.
 вставьте в предложение глагол в соответствующей форме: he is very good at (learn) languages.  ,learning
 вставьте глагол в соответствующей форме:  tell her what you would like her (do). ,to do.
" выберите предложение, в котором причастие употреблено в функции обстоятельства: ",while reading a book she was eating sweets.
" прочитайте текст и ответьте на вопрос после текста: after the war of independence the usa needed a capital city. it was difficult to choose it because different cities in different parts of the country wanted to be the nation’s capital. in the end it was decided to build a new city. in 1791 george washington, the first president, chose the place where the city now stands. he thought it was a good place because the potomac river was large enough for ships to come as far as the site of the city. the land round the city was called the district of columbia, after christopher columbus; and the city on it was named washington, in honour of the country’s first president.   why did george washington choose this place for the city? ",because it was good for ships to come to the city.
 закончите фразеологизм: to … oneself together. взять себя в руки. ,pull.
 найдите правильный вариант глагола: the biggest event in tom’s life … by chance. ,happened
 найдите правильный вариант глагола. i woke up and found out that water … through the ceiling. ,was pouring
 найдите правильный вариант глагола:   i … him for ages. ,haven’t seen
 укажите правильный вариант сказуемого: he said he … the report by 8 o’clock. ,would have finished.
 найдите правильный вариант глагола. at this very moment the suspect . . . by the police. ,is being interviewed
" выберите слово, противоположное по значению: young. ",old.
 выберите правильное слово julia has got … orange. ,an
 выберите правильное слово. it`s the … foot. ,dog’s 
 дополните предложение: how are you? – i … all right. ,am
 выберите  подходящий английский эквивалент:. я собираюсь быть дома в 8 часов вечера. ,i am going to be at home at 8 o’clock in the evening.
" выберите слово, в котором выделенная буква читается отлично от других. ",general 
 выберите правильный вариант переводa слова: неприятный ,unpleasant.
 образуйте существительное от глагола serve: ,servant. 
 выберите правильный вариант местоимения в предложении: we live in wales. ... parents live with ... . ,our / us.
" дополните предложение, вставив нужное местоимение: they did not pick ... flowers. ",any
 выберите исчисляемoе существительнoе: ,magazine.
 выберите правильное отрицательное предложение: you must forget about it. ,you mustn’t forget about it.
 выберите правильный вариант сказуемого: there … someone at the door. ,is
" прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: balzac, the famous french writer, was a man of great talent. but he himself was proud of his ability to tell a person’s character by his or her handwriting. one day a woman brought him a young boy’s exercise-book. she said she wanted to know what balzac thought of the boy’s character. balzac studied the boy’s handwriting carefully. then he said that the boy was a lazy fellow. “it’s very strange,” said the woman smiling. “this is a page from your own exercise-book, which you used when you were a boy.” balzac … . ",was a man of great talent.
 найдите антоним к слову: “difficult” ,easy. 
 дополните предложение: he made a very interesting ... at the conference. ,report
 выразите одним словом: a person who travels by plane or by ship is a ... ,passenger.
 закончите пословицу:  better late... ,... than never.
 выберите правильный вариант вопросительного местоимения: by … is this book written? ,whom.
 выберите правильный вспомогательный глагол в предложении: ... you meet her at the station? ,will
 выберите правильно построенное предложение: ,they thought i should be working in the garden at that moment.
 вставьте в предложение глагол в соответствующей форме: nick used (live) alone.  ,to live
 выделенное слово является participle 1 в предложении: ,she ate her supper watching a film on tv.
 допишите предложение.  the novel “treasure island” was written by … ,robert stevenson.
 переведите “to be keen on ”  ,"страстно желать, увлекаться чем-либо."
 найдите правильный вариант глагола. he… when he fell over and broke his leg. ,was skiing 
 найдите правильный вариант глагола. she said she … just … dinner. ,had cooked
 выберите правильный перевод предложения в страдательном залоге: ему показали дорогу. ,he was shown the way.
 поставьте предложение в отрицательную форму: david used to work at the factory. ,david didn’t use to work at the factory. 
 в данном предложении герундий является: before having dinner you must wash your hands. ,обстоятельством.
 синонимом слова “famous” является: ,well-known.
 выберите правильный вариант артиклей. … first of september is … great holiday in … life of schoolchildren. ,"the, a, the."
 выберите правильный вариант предложения в past simple tense. ,ahmed phoned me yesterday.
 выберите правильную  форму глагола . there … some butter in the fridge. ,`s
 дополните предложение: the children … going to play football when it began to rain. ,were
" выберите слово, в котором выделенная буква читается отлично от других слов: ",catch.
 выберите правильный вариант предлога: go … reading the story. i want to know its end. ,on. 
 вставьте необходимое слово в предложение: the streets in this town are really ... . nobody ever cleans them. ,dirty
" найдите прилагательное, имеющее отрицательное значение:  ",unhappy 
 выберите верное местоимение. … has taken my pen. ,somebody.
 выберите исчисляемое существительное:  ,bottle
 выберите правильное сказуемое: the train … at the station by 4 o’clock yesterday. ,had arrived
 найдите правильный вариант перевода на русский язык:  it’s no use asking him about it.  ,бесполезно его спрашивать об этом.
 определите функцию инфинитива в следующем предложении: i’m sure he will be the last to leave. ,дополнение 
 дополните предложение:  he used his hands and feet to ... the  mountains.  ,climb
 дайте определение слову crowd: ,a great number of people.
 выберите правильный английский эквивалент данной пословицы: не вешай нос. ,never say die.
 выберите правильную форму глагола “to be”: my brother and i … born in almaty. ,were
 выберите правильный вариант вспомогательного глагола: my children … learning spanish at the moment. ,are 
 выберите правильно построенное предложение: ,they knew that they would manage somehow. 
 выберите правильную форму глагола в страдательном залоге: the child (to care) for. ,is cared.
 выберите предложение с past participle: ,the house built in 1789 was the oldest building in the town.
" прочитайте текст и выполните задание после текста: the majority of the british population live in small houses built close together. a typical house of this kind is built with two floors.   the front door, which faces the street, opens into a hall with two rooms, one on each side of the hall. one of them is the dining-room, the other is the sitting-room.   the rooms upstairs are bedrooms. they are often small.    often the dining-room is the most comfortable room in the house and the one that is used all the time.    very many houses of this type were built in the 19th and early 20th centuries. today the land on which they stand has become very valuable so the houses are very expensive.  ответьте на вопрос: where do the majority of the british people live in? ",in small houses.
 выберите правильный вариант ответа.  the members of the house of commons are chosen by the … . ,electors
" образуйте новое слово от “ to eat “, выбрав верный суффикс: ",able
 вставьте пропущенное местоимение: all sentences consist of words and … of letters. ,these
 выберите правильный вариант вопросительного местоимения: … of you speaks english? ,which. 
 выберите словосочетание с существительным множественного числа в притяжательном падеже: ,my sons’ cars.
 выберите верный модальный глагол: he … go to the dentist because he has toothache. ,should
 выделенное слово является gerund в предложении: ,he was fond of reading books about travels.
 выберите правильный артикль:  is he … teacher? ,a
 выберите правильный вариант  притяжательной формы существительного в единственном числе. ,student’s opportunity. 
 найдите предложение в present continuous tense. ,they are playing football in the yard now.
 дополните предложение: i opened the fridge. there … much food there. ,was
 дополните предложение: she … going to see a new film tomorrow. let’s go together! ,is
" выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",heavy.
 aнтонимoм  слова “day”является : ,night
 выберите правильный вариант предлога: go … reading the story. i want to know its end. ,on.
" дополните пословицу: east or west, … is best. ",home.
 образуйте прилагательное при помощи суффикса.  help                ,ful 
 выберите верное местоимение. pete says apple are… favorite fruit. ,his.
 выберите правильный вариант: could you tell me … has happened? ,what
 найдите множественное число слова “a boy”: ,boys
 закончите предложение: prince charles is queen elizabeth’s ii … . ,son.
 синонимом слова “spare” является: ,free
 переведите “заботиться о… ”: ,to take care of
 найдите правильный вариант слова  “разногласие “: ,disagreement
 выберите правильный вариант местоимения: there is … in the bag. it’s empty. ,nothing.
 выберите правильное отрицательное предложение: i have to make a telephone call. ,i don’t have to make a telephone call.
 поставьте предложение в отрицательную форму: ann used to have a piano. ,ann didn’t use to have a piano. 
 образуйте форму gerund от глагола have: ,having.
 образуйте форму perfect infinitive от глагола tell: ,to have told.
 выберите верное причастие: a ... fridge ,bought. 
" прочитайте текст и выполните задание после текста: london parks are the most beautiful areas of the city. in the summer you can sit in st. james’s park by the side of the lake and listen to the band playing music.    green park is a different kind of park. it is a quiet, wooden place.    hyde park was once part of a forest. in our days, speakers’ corner of the park is always a centre of activity. sunday is the most popular day and you will usually find some people standing on their soap-boxes and making speeches.    there is a boating lake, and skating in the winter if the ice is 10 centimetres thick.    there is an open-air theatre where plays are put on in the summer, and rose garden and a restaurant. закончите предложение: a quiet wooden place is ... ",... green park.
 выразите одним словом: you send them to your relatives on holidays. ,postcards.
" выберите правильную форму глагола “to be”: last friday he … in astana ,…he?  ","wasn’t, was"
 найдите правильный вариант глагола: his only bad habit is that he … too loudly. ,talks
 выберите правильную форму сказуемого: he … … her since 1982. ,has known.
 выберите правильный вариант: he explained that they … for us near the gate. ,would wait
 выберите правильную форму глагола в страдательном залоге: the patient (to take) to hospital last friday. ,was taken.
" выберите слово, сходное по значению со словом to amuse. ",to entertain.
 выберите правильный вариант артиклей. … tourists think that … life of … capital is not active. ,"the, the, the."
 выберите правильный вариант притяжательной формы существительного в единственном числе. ,actor’s voice.
 поставьте глагол в предложении в present simple tense. a palace … a large and splendid building. ,is. 
 выберите правильный вариант сказуемого. we … to have a party. ,are going.
 окончание читается отлично от других в слове: ,developed.
 антоним слова “large” ,small
 выразите одним словом: people go in for sports there. ,stadium.
 найдите имя существительное: ,worker 
 выберите верное местоимение. it’s nice that becky brought her textbook with … . ,her.
 выберите вопросительное местоимение для выделенного слова: we usually have dinner at five. ,what time.
 выберите правильный вариант множественного числа существительного: bench ,benches.
 определите функцию инфинитива в следующем предложении: he forgot to do his homework when he was at home.  ,определение
" прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: balzac, the famous french writer, was a man of great talent. but he himself was proud of his ability to tell a person’s character by his or her handwriting. one day a woman brought him a young boy’s exercise-book. she said she wanted to know what balzac thought of the boy’s character. balzac studied the boy’s handwriting carefully. then he said that the boy was a lazy fellow. “it’s very strange,” said the woman smiling. “this is a page from your own exercise-book, which you used when you were a boy.” balzac … . ",was a man of great talent.
 выберите фразовый глагол со значением «включить»: ,to turn on
 найдите предложение с фразовым глаголом:  ,i get up at seven every morning.
 выберите правильный вариант: this is my chair and … your armchair over there. ,that is
 найдите правильный вариант сказуемого: in britain the banks … at 9.30 in the morning. ,open.
 определите правильный вариант глагола: when we came back the children … in the garden with two unknown boys. ,were playing.
 выберите глагол в форме present perfect: ,has won. 
 вставьте необходимый модальный глагол: jack left before the end of the meeting. he ... go home earlier. ,had to
 выберите верный вариант общего вопроса к предложению: nick used to be interested in collecting cactuses. ,did nick use to be interested in collecting cactuses?
 выберите предложение с герундием: ,thank you for ringing me up! 
 выберите правильный ответ. tthe highest mountain on the british isles is … ,ben nevis
" выберите правильный английский эквивалент данной пословицы: сколько голов, столько умов. ","so many men, so many minds."
 выберите значение приставки de-: ,противоположное значение
 укажите правильный вариант сказуемого: he said he … to london in may. ,would come.
 выберите правильный перевод предложения в страдательном залоге: фильм был снят в этом году. ,the film has been made this year. 
 выберите правильный вариант перевода на английский язык: много деревьев было во дворе. ,many trees were in the yard. 
 выберите предложение с past participle: ,the new hotel opened last year was beautiful.
 выберите правильное слово this is … way to school. ,the
 дополните предложение: the man standing at the window is … father. ,pavel and lena’s
 поставьте глагол в предложении в present simple tense. a palace … a large and splendid building. ,is.
" дополните предложение: we … home, when the rain began. ",were leaving
 выберите правильный вариант сказуемого. there … something in the box. ,is. 
" выберите слово, в котором выделенная буква читается отлично от других. ",gentle   
 найдите синоним слова “to start” ,to begin
 выберите правильный вариант предлога: go … reading the story. i want to know its end. ,on.
" к теме ""library"" относится слово: ",novel.
 выразите одним словом: people go in for sports there. ,stadium.
 выберите правильный английский эквивалент данной пословицы: плохая молва летит на крыльях. ,bad news travels fast.
" выберите верное местоимение. hello, tom. have … seen pete? ",you. 
 выберите правильно построенное предложение: ,he said that he would return tomorrow.
 выберите верное причастие: the ... day ,following.
 переведите: заниматься спортом ,to go in for sport.
" найдите прилагательное, имеющее отрицательное значение: ",indefinite 
 выберите правильный вариант местоимения: there is … in the bag. it’s empty. ,nothing. 
 дополните предложение: that’s the house ... we stayed in may. ,where
 выберите правильный вариант множественного числа существительного: roof ,roofs.
 найдите правильный вариант перевода: she isn’t allowed to come. ,ей не разрешают прийти. 
" найдите предложение, имеющее значение будущего времени: ",what is he going to do?    
 выберите верный вариант общего вопроса к предложению: everything used to be different many years ago. ,did everything use to be different many years ago?
 определите название формы по приведенному примеру: drinking. ,gerund.
 определите название формы по приведенному примеру: to have gone. ,perfect infinitive active. 
" образуйте новое слово “ победоносный “, употребив верный суффикс : ",victoriuos
" найдите правильный вариант глагола: in the year 2030, people … the same things as they do now. ",will eat
" найдите правильный вариант глагола. all the people we … came, and some that we hadn’t invited. ",had invited
 найдите правильный вариант глагола. there must be a mistake: the hotel . . . by my wife. ,was paid
" прочитайте текст, выберите правильный ответ на вопрос: mark twain once said, “when i was a boy of 14, i thought that my father was the most ignorant of all men. but when i got to be 21, i was surprised at how much the old man had learned in seven years.” what did mark twain think about his father? ",he knew very little.
" выберите подходящий русский эквивалент к слову “freshman”  in american english, freshman means … . ",первокурсник
 синонимом слова “rest” является: ,relax.
" выберите правильное слово pass me … salt, please. ",the
 выберите правильное слово.   this is the … dress. ,lady’s
 определите правильный вариант предложения со сказуемым  в present simple tense. ,it is very hot in summer.
 выберите подходящий английский эквивалент. на стене напротив двери весит большая картина. ,there is a large picture on the wall opposite the door.
" выберите слово, в котором выделенная буква читается отлично от других слов: ",river.
 выберите антоним к слову: “teacher” ,student.
 обобщающим для данной группы слов является слово: ,climate.
 выберите верное местоимение: i saw them . this is … cat . ,their 
 выберите вопросительное местоимение для выделенного слова: they are usually at home in the evening. ,where. 
 выберите правильно построенное предложение: ,i hoped that i should find him at school.
 выберите правильный ответ: are you going to invite her to the party? ,"yes, i am."
 найдите правильный вариант перевода на русский язык:  it’s no use asking him about it.  ,бесполезно его спрашивать об этом.
 выберите предложение с герундием: ,i enjoyed watching tv. 
 “to get in” означает:   ,входить
 дайте определение слову neighbour: ,a person who lives near you.
 закончите фразеологизм: since …was a boy. со времени царя гороха. ,adam.
" образуйте прилагательное с противоположным значением от слова ""definite"":  ",indefinite. 
 найдите имя прилагательное: ,slow
 выберите указательное местоимение для предложения: do you like ... apples? ,these
 выберите неисчисляемое имя существительное: ,weather.
 найдите правильный вариант перевода: он не идет сейчас домой. ,he isn’t going home now. 
 выберите правильный модальный глагол: you … eat so many sweets. ,shouldn’t.
 образуйте форму participle 2 от глагола lose: ,lost.
 выберите правильную форму глагола “to be”: zulfiya … to have made a report on psychology previous thursday.  ,was
 найдите правильный вариант глагола:  i just … a postgraduate degree  in business and administration. ,have completed
 выберите правильную форму глагола в страдательном залоге: tomorrow the bill (to pay). ,will be paid.
" переведите: интересно, где сью? она обещала не опаздывать. ",i wonder where sue is. she promised not to be late. 
" прочитайте текст и выполните задание после текста: mr. nelson wanted to be elected sheriff in a new hampshire county. he went from farm to farm asking people to vote for him. mrs. marrow saw him coming up one day and reached for the broom. get off, you good-for-nothing loafer, she shouted. but mrs. marrow, said nelson. i have just come to ask you if you’ll vote for me for sheriff. sheriff! shouted mrs. marrow. your place is in the lockup, not in the sheriff’s office. you are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. get out of here before i take this broom to you. nelson decided to go. before climbing back into the car,he took out his notebook and wrote, after the name of marrow, one word: doubtful. закончите предложение: mr. nelson was ... ",... a candidate for sheriff. 
 выберите правильный вариант ответа:  what is the name of the oldest and best known public school for boys in great britain? ,eton
 выберите правильный вариант артиклей. kansas is situated in … central part of … usa. ,"the, the."
 выберите притяжательную форму существительного в единственном числе. ,sister’s. 
" поставьте глаголы в предложении в past simple tense. yesterday my brother … at the cinema, i … also there. ","was, was."
 выберите правильную  форму глагола . there … any sugar on the table. ,isn`t
 дополните предложение: we … going to visit picture gallery. we are interested in kazakh art. ,are
" выберите слово, в котором выделенная буква читается отлично от других. ",knight   
 дополните пословицу: live and … ,learn.
 выберите верное местоимение: mary didn’t know about it. … was at home. ,she. 
 выберите правильный вариант местоимения : … girl is george’s cousin . ,that.
 выберите правильный вариант: … is that man in a green suit? i don’t know … ,who / him
 выберите неисчисляемoе существительнoе: ,water. 
 выберите правильно построенное предложение: ,the doctor said that he would come the next day.
 выберите страдательный залог герундия в несовершенном времени на примере следующего глагола: to write ,being written
" определите, чем является подчёркнутое слово: the girl washing the floor is my sister. ",причастием
 синонимом слова “discover” является: ,find
 aнтонимoм  слова “joy”является : ,grief
" выберите фразовый глагол со значением «продолжать, идти дальше»: ",to go on
 переведите пословицу “there is no place like home ”  ,нет ничего лучше родного дома
 выразите одним словом: you can cross the river over it. ,bridge.
 найдите правильный вариант слова  “разногласие “: ,disagreement 
 выберите глагол в форме future simple:  ,will go.
 выберите верный вариант общего вопроса к предложению: my father used to be a scientist. ,did my father use to be a scientist?
 определите название формы по приведенному примеру: to be going. ,continuous infinitive active.
" прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: mark twain was travelling in france. once he was going by train to dijon. he asked the conductor to wake him up when they came to dijon and put him off the train not paying attention to his protests. when he woke up the train was in paris already. he realized that the conductor had forgotten to wake him up at dijon. he was very angry. he ran up to the conductor and began to shout at him. the conductor looked at him calmly. “you are not half so angry as the american whom i put off the train at dijon,” he said. mark twain knew … . ",that it was difficult to wake him up. 
" образуйте новое слово от “ to eat “, выбрав верный суффикс: ",able 
 найти правильный вариант глагола. she told me she … a bad time with her husband. ,was having
 найдите правильный вариант глагола. she fell ill because she … too hard. ,had worked
 выберите правильную форму глагола в страдательном залоге: the window (to leave) open by somebody. ,has been left.
 вставьте необходимый модальный глагол: weve got plenty of time. we ... hurry. ,needn’t
 дополните предложение.  in the house of commons the members sit … . ,on two sides of the hall
 выберите правильный  предлог do not learn all your answers off … heart. ,by 
 выберите правильное слово i don`t like …. music. ,–
 выберите притяжательную форму существительного во множественном числе. ,fans’.
 выберите правильную  форму глагола . there … some people in the park. ,are
 выберите  подходящий английский эквивалент: как ты собираешься провести свой выходной? ,how are you going to spend your weekend?
 образуйте прилагательное при помощи суффикса.  help                ,ful 
" выберите верное местоимение. please, wait for … . i’ll be ready in a minute. ",me.
 выберите верное местоимение: there is … interesting in the newspaper. ,something
 выберите вопросительное местоимение для выделенного слова: i am interested in sports. ,what. 
 выберите исчисляемoе существительнoе: ,magazine.
 найдите правильный вариант глагола: mag and her sister … in rome last summer. ,were
 выберите правильный вариант формы глагола: the best thing is … in the forest.   ,walking
 определите функцию инфинитива в следующем предложении: to smoke is bad for health.  ,подлежащее 
" прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: balzac, the famous french writer, was a man of great talent. but he himself was proud of his ability to tell a person’s character by his or her handwriting. one day a woman brought him a young boy’s exercise-book. she said she wanted to know what balzac thought of the boy’s character. balzac studied the boy’s handwriting carefully. then he said that the boy was a lazy fellow. “it’s very strange,” said the woman smiling. “this is a page from your own exercise-book, which you used when you were a boy.” balzac … . ",was a man of great talent.
" выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",either.
 синонимом слова “spare” является: ,free
 выберите фразовый глагол со значением «включить»: ,to turn on
 выберите правильный фразовый глагол: the teacher told us to … the blackboard. ,look at.
 “беспокойный” найдите правильный перевод: ,restless
 выразите одним словом: a stopping place for trains is a ... ,station.
 образуйте новое слово от глагола “write” с помощью следующих приставок. ,re.
 выберите глагол в форме future-in-the-past: ,would continue. 
 выберите правильный модальный глагол. i … skate and ski very well. ,can
 поставьте предложение в отрицательную форму: karen used to go swimming every day. ,karen didn’t use to go swimming every day. 
 задайте вопрос к выделенному слову:  he usually goes to the seaside in summer. ,what does he usually do in summer? 
 найдите правильный вариант глагола. i … a nightmare when the alarm-clock rang and woke me up. ,was having
 найдите правильный вариант глагола. it was a firm that i … of. ,had never heard 
 выберите правильную форму глагола в страдательном залоге: a delicious cake (to taste) by him now. ,is being tasted.
 выберите предложение с past participle: ,the new hotel opened last year was beautiful.
 выберите подходящее слово.  the whispering gallery is remarkable for its … . ,acoustics
" выберите слово, близкое по значению: believe. ",suppose.
 дополните предложение: … weather is fine and … sun is shining brightly today. ,the | the
 поставьте глагол в предложении в past simple tense. he … glad to see his friends’ victory in a football game last week. ,was. 
 выберите правильную  форму глагола . there… a lot of bread on the table. ,is 
 вставьте  правильную форму глагола   look out! that dog … bite you. ,is going to
 выберите слово с ііi типом слога ,barn
" найдите прилагательное, имеющее отрицательное значение: ",unthinkable
 выберите верное местоимение: he has the habit of talking to … . ,himself
 вставьте пропущенные местоимения: … book is more interesting than … one.   ,"this, that"
 найдите правильное местоимение: they believed … it was true. ,that.
 дополните предложение существительным в притяжательном падеже do you know my…daughter? ,uncle’s
 найдите правильный вариант перевода на русский язык:  it’s no use asking him about it.  ,бесполезно его спрашивать об этом.
 определите функцию герундия в следующем предложении: the meeting was planned for discussing and creating.  ,обстоятельство цели
 выберите предложение с participle i: ,going along the street i met mary.
 “to go ahead” означает:    ,двигаться вперед
 найдите предложение с фразовым глаголом:  ,"come in, please. "
 к теме travelling относится слово: ,excursion. 
 выберите неисчисляемое имя существительное: ,weather.
 выберите глагол в форме present perfect active: ,have done.
 выберите правильно построенное предложение: ,aliya said that she would tries to come in time.
 выберите правильную форму глагола в страдательном залоге: he  often (to laugh) at. ,is laughed.
 найдите эквивалент: ей следует приходить вовремя. ,she should come in time. 
 образуйте форму perfect infinitive от глагола tell: ,to have told.
" прочтите текст и ответьте на вопрос после текста:  a traveller who had been riding in rain and was wet through, arrived at a small hotel in the country. there was only one fireplace in the hall and a lot of people around it. the traveller thought of a plan how to get warm. he asked the hotel owner to give some fish to his horse. the hotel owner was surprised but the traveller insisted and the hotel owner did as he was asked. all the people rushed out to see the horse eat fish. the traveller had the fireplace all to himself and felt comfortable. when the hotel owner had returned he said, ""i was sure horses do not eat fish"". - ""then why did you give it to my horse?"".  why did the traveller ask the hotel owner to feed his horse with fish?       ",because he wanted to get warm
 дополните предложение: they ... sausages at this shop. ,sell
 выразите одним словом: you send them to your relatives on holidays. ,postcards.
  образуйте новое слово от “real” c помощью следующих суффиксов.  ,ist. 
 найдите правильный вариант глагола. i think i … the report next monday. ,won’t  finish
 найдите правильный вариант глагола. professor asher … another lecture at the same time next week.  ,will be giving
 выберите подходящее слово. from the earliest times the … of london depended upon its water-born trade. ,prosperity
 выберите антоним слова. noise. ,silence.
 дополните предложение: never cross … street when … light is red. ,the | the
 выберите правильный вариант притяжательной формы существительного в единственном числе. ,reader’s hobby.
 поставьте глагол в предложении в present simple tense. … you as old as your friend? ,are.
" дополните предложение: we … home, when the rain began. ",were leaving 
" выберите правильный вариант перевода, обращая внимание на суффикс: “плата” ",payment.
 выберите верное местоимение: i love … very much! ,him. 
 выберите исчисляемое существительное:  ,bottle
 выберите правильно построенное предложение: ,he said that he would return tomorrow.
 выберите правильный вариант сказуемого: there … someone at the door. ,is
 найдите правильный вариант сказуемого: i … to clean the carpet. ,am going.
 выберите правильный вариант формы глагола: he was looking forward to … to astana to business-trip.    ,being sent
 определите функцию инфинитива в следующем предложении: i was the first to come. ,определение 
 закончите предложение: prince charles is queen elizabeth’s ii … . ,son. 
 выберите слово с третьим типом слога:  ,observe.
 синонимом слова shut является: ,close.
 выберите фразовый глагол со значением «продолжать»: ,to go on
 найдите предложение с фразовым глаголом:  ,it was cold so he put on his coat.
 подберите соответствующий перевод: the book is less interesting than the film. ,"книга менее интересная, чем фильм."
 вставьте нужное указательное местоимение в предложении: look! ... men in the street are my friends. ,these
